Year,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,ISO,Region,Continent,Origin,Associated Disaster,OFDA Response,Disaster Magnitude Value,Latitude,Longitude,Start Year,End Year,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",Country,Location
1909,Natural,Biological,Epidemic,Bacterial disease,IDN,South-Eastern Asia,Asia,,,,,,,1909,1909,40,,,,,,,Indonesia,Bali
1914,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,Tsunami/Tidal wave,,8,-3924,101.82,1914,1914,20,20,,,20,,,Indonesia,Kepahyang
1914,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,Tsunami/Tidal wave,,8,-3924,101.82,1914,1914,20,20,,,20,,,Indonesia, Bengkulu (Sumatera)
1917,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,7,-7,116,1917,1917,15000,,,,,,,Indonesia,Bali
1919,Natural,Geophysical,Volcanic activity,Ash fall,IDN,South-Eastern Asia,Asia,,,,,,,1919,1919,5000,,,,,,,Indonesia,Sumatra
1924,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,,-7.21,109.56,1924,1924,727,,,11250,11250,,,Indonesia,Wonosobo (Central Java)
1927,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,Tsunami/Tidal wave,,6,-0.842,120764,1927,1927,50,50,,,50,,,Indonesia,Sulawesi
1927,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,Tsunami/Tidal wave,,6,-0.842,120764,1927,1927,50,50,,,50,,,Indonesia, Donggala
1928,Natural,Geophysical,Earthquake,Tsunami,IDN,South-Eastern Asia,Asia,Volacno and landslide,,,3,8.30 S,121.70 E,1928,1928,128,,,,,,,Indonesia,Flores sea
1930,Natural,Geophysical,Volcanic activity,Ash fall,IDN,South-Eastern Asia,Asia,,,,,,,1930,1930,1369,,,,,,,Indonesia,Java Island
1931,Natural,Geophysical,Volcanic activity,Ash fall,IDN,South-Eastern Asia,Asia,,,,,,,1931,1931,1300,,,,,,,Indonesia,Bali
1932,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,7,0.5,126,1932,1932,6,115,,2960,3075,,,Indonesia,North Sulawesi
1936,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,Tsunami/Tidal wave,,7,6.1,94.7,1936,1936,9,20,,,20,,,Indonesia,Banda Aceh
1936,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,,3.5,97.5,1936,1936,17,,,,,,,Indonesia,Tapanuli
1936,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,,3.5,97.5,1936,1936,17,,,,,,,Indonesia, Karo (North Sumatera)
1938,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,Tsunami/Tidal wave,,8,-0.557,118881,1938,1938,,,920,4710,5630,,,Indonesia,Tomini Gulf (Central Sulawesi)
1942,Technological,Technological,Transport accident,Air,IDN,South-Eastern Asia,Asia,,,,,,,1942,1942,13,,,,,,,Indonesia,Near Kupang
1942,Technological,Technological,Transport accident,Air,IDN,South-Eastern Asia,Asia,,,,,,,1942,1942,13,,,,,,,Indonesia, Timor
1943,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,7,-8591,109803,1943,1943,213,2096,14000,,16096,,,Indonesia,Jogyakarta (Central Java)
1951,Natural,Geophysical,Volcanic activity,Ash fall,IDN,South-Eastern Asia,Asia,,,,,,,1951,1951,1300,,,,,,,Indonesia,Bali
1953,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,,,,,1953,1953,114,,,,,,,Indonesia,Bali
1954,Natural,Geophysical,Volcanic activity,Ash fall,IDN,South-Eastern Asia,Asia,,,,,,,1954,1954,37,,,,,,,Indonesia,Bali
1955,Natural,Hydrological,Landslide,Landslide,IDN,South-Eastern Asia,Asia,,,,,,,1955,1955,405,,,,,,,Indonesia,Bali
1956,Natural,Meteorological,Storm,Tropical cyclone,IDN,South-Eastern Asia,Asia,,,,,,,1956,1956,300,,,,,,,Indonesia,Bali
1958,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,7,-9.5,112.5,1958,1958,8,1856,1030,475,3361,,,Indonesia,Malang (East Java)
1963,Natural,Geophysical,Volcanic activity,Ash fall,IDN,South-Eastern Asia,Asia,,,,,,,1963,1963,1584,,78000,,78000,,,Indonesia,Bali
1963,Natural,Geophysical,Volcanic activity,Ash fall,IDN,South-Eastern Asia,Asia,,,,,,,1963,1963,106,,,,,,,Indonesia,Bali
1965,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,Tsunami/Tidal wave,,8,-2608,-125952,1965,1965,71,,15000,,15000,,,Indonesia,Sanana Island
1966,Natural,Climatological,Drought,Drought,IDN,South-Eastern Asia,Asia,,Famine,Yes,,,,1966,1966,8000,,204000,,204000,,,Indonesia,Lombok
1966,Natural,Climatological,Drought,Drought,IDN,South-Eastern Asia,Asia,,Famine,Yes,,,,1966,1966,8000,,204000,,204000,,,Indonesia, South
1966,Natural,Geophysical,Volcanic activity,Ash fall,IDN,South-Eastern Asia,Asia,,,Yes,,,,1966,1966,1000,60,5000,,5060,,,Indonesia,Margomlujo
1966,Natural,Geophysical,Volcanic activity,Ash fall,IDN,South-Eastern Asia,Asia,,,Yes,,,,1966,1966,88,2000,40000,,42000,,,Indonesia,Sangi Talaud
1966,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,,,Yes,,,,1966,1966,176,100,524000,,524100,33000,275492,Indonesia,Central
1966,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,,,Yes,,,,1966,1966,176,100,524000,,524100,33000,275492,Indonesia, East Java
1967,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,Tsunami/Tidal wave,,6,-3.7,119.3,1967,1967,71,100,,,100,,,Indonesia,South Sulawesi
1967,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,6,-8965,113017,1967,1967,54,121,,8290,8411,,,Indonesia,East Java
1967,Technological,Technological,Miscellaneous accident,Collapse,IDN,South-Eastern Asia,Asia,,,,,,,1967,1967,200,,,,,,,Indonesia,Bali
1967,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,,,,,1967,1967,,,55000,,55000,,,Indonesia,East Java
1967,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,Yes,,,,1967,1967,,,102000,40000,142000,,,Indonesia,Jakarta
1967,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,,,,,1967,1967,,,7000,,7000,,,Indonesia,Ambon
1967,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,,,,,1967,1967,160,,,,,,,Indonesia,Central Java
1968,Natural,Geophysical,Earthquake,Tsunami,IDN,South-Eastern Asia,Asia,Earthquake,,,8,0.157,119802,1968,1968,200,,,,,,,Indonesia,Donggala
1968,Natural,Biological,Epidemic,Bacterial disease,IDN,South-Eastern Asia,Asia,,,Yes,,,,1968,1968,40,,94,,94,,,Indonesia,Bojalali (Central Java)
1968,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,Yes,,,,1968,1968,12,,150000,,150000,7831,61005,Indonesia,East Java
1969,Natural,Geophysical,Earthquake,Tsunami,IDN,South-Eastern Asia,Asia,Earthquake,,,7,-3201,118904,1969,1969,64,97,,6435,6532,,,Indonesia,Parasanga
1969,Natural,Geophysical,Earthquake,Tsunami,IDN,South-Eastern Asia,Asia,Earthquake,,,7,-3201,118904,1969,1969,64,97,,6435,6532,,,Indonesia, Paletoang (Sulawesi)
1969,Natural,Geophysical,Volcanic activity,Ash fall,IDN,South-Eastern Asia,Asia,,,Yes,,,,1969,1969,,,250000,,250000,200,1477,Indonesia,Flores
1969,Natural,Geophysical,Volcanic activity,Ash fall,IDN,South-Eastern Asia,Asia,,,Yes,,,,1969,1969,,,250000,,250000,200,1477,Indonesia, Timor
1969,Natural,Geophysical,Volcanic activity,Ash fall,IDN,South-Eastern Asia,Asia,,,Yes,,,,1969,1969,,,250000,,250000,200,1477,Indonesia, Sulawe
1970,Technological,Technological,Miscellaneous accident,Fire,IDN,South-Eastern Asia,Asia,,,,,,,1970,1970,50,,,,,,,Indonesia,Java
1970,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,,,,,1970,1970,82,,,,,,,Indonesia,Java
1972,Natural,Climatological,Drought,Drought,IDN,South-Eastern Asia,Asia,,,Yes,,,,1972,1973,,,3500000,,3500000,70000,453596,Indonesia,Central Java
1972,Natural,Climatological,Drought,Drought,IDN,South-Eastern Asia,Asia,,,Yes,,,,1972,1973,,,3500000,,3500000,70000,453596,Indonesia, Southern Isles
1972,Technological,Technological,Miscellaneous accident,Fire,IDN,South-Eastern Asia,Asia,,,,,,,1972,1972,72,,,,,,,Indonesia,Flore
1973,Natural,Meteorological,Storm,Tropical cyclone,IDN,South-Eastern Asia,Asia,,,,,,,1973,1973,1650,,,,,,,Indonesia,Flores
1973,Technological,Technological,Industrial accident,Explosion,IDN,South-Eastern Asia,Asia,,,,,,,1973,1973,52,24,10,,34,,,Indonesia,Djakarta
1974,Natural,Meteorological,Storm,,IDN,South-Eastern Asia,Asia,,,,,,,1974,1974,10,,2000,,2000,,,Indonesia,Situbondo (West Java)
1976,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,Yes,7,-4603,140091,1976,1976,420,,15000,,15000,25000,119038,Indonesia,Wanena Region (Irian Jaya)
1976,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,Yes,7,-8.17,114888,1976,1976,573,4755,450000,,454755,195000,928495,Indonesia,Bali
1976,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,7,-4517,139918,1976,1976,133,,7000,,7000,,,Indonesia,Irian Jaya
1976,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,7,-4517,139918,1976,1976,133,,7000,,7000,,,Indonesia, Jayawijaya (New guinea)
1976,Natural,Geophysical,Volcanic activity,Ash fall,IDN,South-Eastern Asia,Asia,,,,,,,1976,1976,40,,,,,,,Indonesia,Bali
1976,Natural,Hydrological,Flood,Flash flood,IDN,South-Eastern Asia,Asia,,,Yes,,,,1976,1976,163,20,20000,,20020,,,Indonesia,East Java
1976,Natural,Hydrological,Flood,Flash flood,IDN,South-Eastern Asia,Asia,,,Yes,,,,1976,1976,163,20,20000,,20020,,,Indonesia, Lumajang
1976,Natural,Meteorological,Storm,,IDN,South-Eastern Asia,Asia,,,,,,,1976,1976,25,,,,,,,Indonesia,Bali
1977,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,Tsunami/Tidal wave,,8,-11164,118378,1977,1977,185,75,3900,,3975,1200,5365,Indonesia,Sumbaya
1977,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,,,,1977,1977,2,25,,,25,,,Indonesia,East Timor
1977,Natural,Meteorological,Storm,Tropical cyclone,IDN,South-Eastern Asia,Asia,,,,,,,1977,1977,1,60,3000,,3060,,,Indonesia,Central Java
1977,Natural,Biological,Epidemic,Bacterial disease,IDN,South-Eastern Asia,Asia,,,,,,,1977,1977,37,,29942,,29942,,,Indonesia,Jakarta
1977,Natural,Biological,Epidemic,Bacterial disease,IDN,South-Eastern Asia,Asia,,,,,,,1977,1977,80,,,,,,,Indonesia,East Java
1977,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,,,,,1977,1977,10,,260000,,260000,,,Indonesia,Jakarta
1977,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,,,,,1977,1977,10,,260000,,260000,,,Indonesia, East Java
1977,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,,,,,1977,1977,,,25000,,25000,,,Indonesia,Central Java
1977,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,,,,,1977,1977,12,,5000,,5000,,,Indonesia,Bandung district
1977,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,,,,,1977,1977,12,,5000,,5000,,,Indonesia, Java
1978,Natural,Biological,Epidemic,Bacterial disease,IDN,South-Eastern Asia,Asia,,,,,,,1978,1978,82,,,,,,,Indonesia,Simelu Island
1978,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,,,,,1978,1978,41,,7000,,7000,,,Indonesia,East Java
1978,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,,,,,1978,1978,21,,8000,,8000,,,Indonesia,West Achem
1978,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,,,,,1978,1978,21,,8000,,8000,,,Indonesia, North Sumatra
1978,Natural,Climatological,Drought,Drought,IDN,South-Eastern Asia,Asia,,Storm,Yes,,,,1978,1978,63,,17220,,17220,1200,4985,Indonesia,Flores 
1978,Natural,Biological,Epidemic,Bacterial disease,IDN,South-Eastern Asia,Asia,,,,,,,1978,1978,11,,70,,70,,,Indonesia,Jakarta
1978,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,,,,,1978,1978,,,200000,,200000,,,Indonesia,Sumatra
1978,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,Yes,,,,1978,1978,8,,51600,15000,66600,,,Indonesia,Aceh
1979,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,Tsunami/Tidal wave,,8,-1679,136.04,1979,1979,2,5,5000,,5005,,,Indonesia,Yapen
1979,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,Tsunami/Tidal wave,,8,-1679,136.04,1979,1979,2,5,5000,,5005,,,Indonesia, Jobi (Irian Jaja)
1979,Natural,Geophysical,Earthquake,Tsunami,IDN,South-Eastern Asia,Asia,Earthquake and landslide,Tsunami/Tidal wave,,,8.8,123.5,1979,1979,539,23,,,23,,,Indonesia,Lomblen Island
1979,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,6,8.21 S,115.95 E,1979,1979,34,48,18000,18000,36048,4150,15495,Indonesia,Lombok Island
1979,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,6,-7656,108252,1979,1979,26,200,43000,,43200,16000,59738,Indonesia,West Java
1979,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,7,-3299,102712,1979,1979,5,,1500,,1500,,,Indonesia,Bengkulu area (South Sumatra)
1979,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,6,-8.39,115889,1979,1979,32,619,,,619,,,Indonesia,Bali
1979,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,6,-8.39,115889,1979,1979,32,619,,,619,,,Indonesia, Lombok
1979,Natural,Geophysical,Volcanic activity,Ash fall,IDN,South-Eastern Asia,Asia,,,,,,,1979,1979,175,1000,17000,10000,28000,,,Indonesia,Dieng plain (Central Java)
1979,Natural,Geophysical,Volcanic activity,Ash fall,IDN,South-Eastern Asia,Asia,,,,,,,1979,1979,82,,,,,,,Indonesia,Merapi (Ouest Sumatra)
1979,Natural,Hydrological,Landslide,Landslide,IDN,South-Eastern Asia,Asia,,,,,,,1979,1979,23,6,,,6,,,Indonesia,Ciherang
1979,Technological,Technological,Miscellaneous accident,Other,IDN,South-Eastern Asia,Asia,,,,,,,1979,1979,12,,,,,,,Indonesia,Medan
1979,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,Yes,,,,1979,1979,128,350,20000,4000,24350,3200,11948,Indonesia,Flores Island
1979,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,,,,,1979,1979,23,,4500,,4500,,,Indonesia,West Java
1979,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,,,,,1979,1979,13,,6000,,6000,,,Indonesia,Borneo
1980,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,,,,1980,1980,,,20000,,20000,,,Indonesia,Ternate (Moluccas)
1980,Natural,Geophysical,Volcanic activity,Ash fall,IDN,South-Eastern Asia,Asia,,,,,,,1980,1980,,,52235,,52235,,,Indonesia,Ternate Island
1980,Natural,Hydrological,Landslide,Landslide,IDN,South-Eastern Asia,Asia,,,,,,,1980,1980,100,10,,3000,3010,,,Indonesia,Talaga
1980,Natural,Meteorological,Storm,Tropical cyclone,IDN,South-Eastern Asia,Asia,,,,,,,1980,1980,,,,800,800,,,Indonesia,West Java
1980,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,Yes,,,,1980,1980,153,,2946,,2946,3400,11180,Indonesia,Central Java
1981,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,"Slide (land, mud, snow, rock)",Yes,7,-4576,139232,1981,1981,306,,2682,,2682,5000,14901,Indonesia,Solo Valley (Irian Jaya)
1981,Natural,Geophysical,Volcanic activity,Ash fall,IDN,South-Eastern Asia,Asia,,,,,,,1981,1981,192,,,5000,5000,,,Indonesia,East of Java
1981,Natural,Hydrological,Flood,Flash flood,IDN,South-Eastern Asia,Asia,,,,,,,1981,1981,9,,206000,6000,212000,,,Indonesia,Jarkarta
1981,Natural,Hydrological,Landslide,Landslide,IDN,South-Eastern Asia,Asia,,,,,,,1981,1981,,,6000,,6000,,,Indonesia,Jogjakarta
1981,Technological,Technological,Transport accident,Water,IDN,South-Eastern Asia,Asia,,,,,,,1981,1981,431,,,,,,,Indonesia,Java sea
1981,Technological,Technological,Miscellaneous accident,Fire,IDN,South-Eastern Asia,Asia,,,,,,,1981,1981,,,36500,,36500,,,Indonesia,Palembang city
1981,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,,,,,1981,1981,500,,,,,2200,6556,Indonesia,Mont Semeru
1981,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,,,,,1981,1981,,,140000,,140000,,,Indonesia,Central Java
1982,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,"Slide (land, mud, snow, rock)",,6,-8405,123.08,1982,1982,13,417,6400,2000,8817,1450,4072,Indonesia,Larantuka (Flores Island)
1982,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,Tsunami/Tidal wave,,5,4374,97755,1982,1982,,,15000,,15000,3500,9828,Indonesia,Sukabumi (Java)
1982,Natural,Climatological,Drought,Drought,IDN,South-Eastern Asia,Asia,Famine,Epidemic,,,,,1982,1982,280,,,,,,,Indonesia,Irian Jaya
1982,Natural,Climatological,Drought,Drought,IDN,South-Eastern Asia,Asia,Famine,Epidemic,,,,,1982,1982,280,,,,,,,Indonesia, East Timor
1982,Natural,Geophysical,Volcanic activity,Ash fall,IDN,South-Eastern Asia,Asia,,,Yes,,,,1982,1982,30,,300000,,300000,160000,449276,Indonesia,Java
1982,Natural,Geophysical,Volcanic activity,Ash fall,IDN,South-Eastern Asia,Asia,,,,,,,1982,1982,,,30000,,30000,,,Indonesia,Sulawesi
1982,Natural,Hydrological,Landslide,Landslide,IDN,South-Eastern Asia,Asia,,,,,,,1982,1982,50,,,,,,,Indonesia,North Sumatra
1982,Natural,Hydrological,Landslide,Landslide,IDN,South-Eastern Asia,Asia,,,,,,,1982,1982,225,,3000,,3000,,,Indonesia,South Sumatra
1982,Natural,Meteorological,Storm,Tropical cyclone,IDN,South-Eastern Asia,Asia,,,,,,,1982,1982,2,123,,,123,,,Indonesia,Slemen (Central Java)
1982,Natural,Biological,Epidemic,Bacterial disease,IDN,South-Eastern Asia,Asia,,,,,,,1982,1982,39,,200,,200,,,Indonesia,Central Java
1982,Technological,Technological,Miscellaneous accident,Other,IDN,South-Eastern Asia,Asia,,,,,,,1982,1982,12,130,,,130,,,Indonesia,Stampede (south Kalimantan)
1982,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,,,,,1982,1982,,,25000,,25000,,,Indonesia,South Borneo
1982,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,,,,,1982,1982,,,12500,,12500,,,Indonesia,Irian Jaya
1982,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,,,,,1982,1982,3,,1500,,1500,,,Indonesia,Central Sumatra
1983,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,7,5723,94722,1983,1983,,100,,,100,1000,2721,Indonesia,Banda Aceh (North Sumatra)
1983,Natural,Geophysical,Volcanic activity,Ash fall,IDN,South-Eastern Asia,Asia,,,,,,,1983,1983,,,2500,,2500,,,Indonesia,Halmahera Island
1983,Natural,Geophysical,Volcanic activity,Ash fall,IDN,South-Eastern Asia,Asia,,,Yes,,,,1983,1983,,,7101,,7101,25500,69375,Indonesia,Unauna Island (central Sulawesi)
1983,Natural,Geophysical,Volcanic activity,Ash fall,IDN,South-Eastern Asia,Asia,,,,,,,1983,1983,,,6334,,6334,149690,407244,Indonesia,Bali
1983,Natural,Hydrological,Landslide,Landslide,IDN,South-Eastern Asia,Asia,,,,,,,1983,1983,21,,,,,,,Indonesia,Bali
1983,Natural,Biological,Epidemic,Parasitic disease,IDN,South-Eastern Asia,Asia,,,,,,,1983,1983,120,,,,,,,Indonesia,Lampung Province
1983,Technological,Technological,Transport accident,Water,IDN,South-Eastern Asia,Asia,,,,,,,1983,1983,104,,,,,,,Indonesia,Masalembo Island
1983,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,,,,,1983,1983,11,,2000,,2000,,,Indonesia,Banggai
1983,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,,,,,1983,1983,2,,5000,,5000,,,Indonesia,Aceh
1983,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,,,,,1983,1983,2,,5000,,5000,,,Indonesia, Sumatra
1983,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,,,,,1983,1983,7,17,410480,,410497,7007,19063,Indonesia,Java
1983,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,,,,,1983,1983,7,17,410480,,410497,7007,19063,Indonesia, Yogyakarta
1984,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,6,2.41 S,118.55 E,1984,1984,2,89,,,89,,,Indonesia,Mamuju (Central Sulawesi)
1984,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,5,1.3 S,98.0 E,1984,1984,,108,1750,,1858,1000,2608,Indonesia,Pahae Jae sub-district (North Sumatra)
1984,Natural,Geophysical,Volcanic activity,Ash fall,IDN,South-Eastern Asia,Asia,,,,,,,1984,1984,,,6000,,6000,,,Indonesia,North Surawasi province
1984,Natural,Geophysical,Volcanic activity,Ash fall,IDN,South-Eastern Asia,Asia,,,,,,,1984,1984,,,17000,,17000,,,Indonesia,Siau Isl (North Sulawesi)
1984,Natural,Geophysical,Volcanic activity,Ash fall,IDN,South-Eastern Asia,Asia,,,,,,,1984,1984,,,5000,,5000,,,Indonesia,Dukuh
1984,Natural,Biological,Epidemic,Parasitic disease,IDN,South-Eastern Asia,Asia,,,,,,,1984,1984,105,,4000,,4000,,,Indonesia,Dukuh
1984,Natural,Biological,Epidemic,Parasitic disease,IDN,South-Eastern Asia,Asia,,,,,,,1984,1984,105,,4000,,4000,,,Indonesia, Sawangan districts (Central Java)
1984,Technological,Technological,Industrial accident,Explosion,IDN,South-Eastern Asia,Asia,,,,,,,1984,1984,25,100,7500,,7600,,,Indonesia,Near Jakarta
1984,Natural,Climatological,Drought,Drought,IDN,South-Eastern Asia,Asia,,,,,,,1984,1984,230,,2000,,2000,,,Indonesia,Kyrim
1984,Natural,Climatological,Drought,Drought,IDN,South-Eastern Asia,Asia,,,,,,,1984,1984,230,,2000,,2000,,,Indonesia, Irian Jaya
1984,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,,,,,1984,1984,,,2700,,2700,1500,3913,Indonesia,West Java
1984,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,,,,,1984,1984,,,37500,,37500,,,Indonesia,Bandung Region (West Java)
1984,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,,,,,1984,1984,26,,300000,20000,320000,,,Indonesia,Dukuh
1984,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,,,,,1984,1984,26,,300000,20000,320000,,,Indonesia, Sawangan districts (Central Java)
1985,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,6,-4.13,136049,1985,1985,10,7,,,7,,,Indonesia,Paniai Regency
1985,Natural,Geophysical,Volcanic activity,Ash fall,IDN,South-Eastern Asia,Asia,,,,,,,1985,1985,,,1078,,1078,,,Indonesia,Ntb Province
1985,Natural,Hydrological,Flood,Coastal flood,IDN,South-Eastern Asia,Asia,,,,,,,1985,1985,11,,2000,,2000,,,Indonesia,West coast of Sumatra
1985,Natural,Hydrological,Flood,Flash flood,IDN,South-Eastern Asia,Asia,,,,16540,,,1985,1985,21,,300,,300,,,Indonesia,Northern Sulawesi
1985,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,,,,77090,,,1985,1985,10,,2000,,2000,,,Indonesia,Central and East Java
1985,Natural,Meteorological,Storm,,IDN,South-Eastern Asia,Asia,,,,,,,1985,1985,,,10000,,10000,,,Indonesia,Bandung region
1986,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,,,,,,,1986,1986,96,,20000,,20000,,,Indonesia,Bengkulu
1986,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,,,,,,,1986,1986,96,,20000,,20000,,,Indonesia, Lampung provinces
1986,Natural,Biological,Epidemic,Bacterial disease,IDN,South-Eastern Asia,Asia,,,,,,,1986,1986,59,,700,,700,,,Indonesia,West Sumatra
1986,Natural,Biological,Epidemic,Parasitic disease,IDN,South-Eastern Asia,Asia,,,,,,,1986,1986,,,500000,,500000,,,Indonesia,Sulawesi
1986,Technological,Technological,Transport accident,Road,IDN,South-Eastern Asia,Asia,,,,,,,1986,1986,24,,,,,,,Indonesia,Cirebon (Java)
1986,Technological,Technological,Transport accident,Water,IDN,South-Eastern Asia,Asia,,,,,,,1986,1986,38,,,,,,,Indonesia,Macassar Detroit
1986,Technological,Technological,Transport accident,Water,IDN,South-Eastern Asia,Asia,,,,,,,1986,1986,80,,,,,,,Indonesia,Buru Island
1986,Technological,Technological,Transport accident,Water,IDN,South-Eastern Asia,Asia,,,,,,,1986,1986,50,,,,,,,Indonesia,Borneo
1986,Natural,Climatological,Drought,Drought,IDN,South-Eastern Asia,Asia,,,,,,,1986,1986,84,,1000,,1000,,,Indonesia,Kurima (Irian Jaya)
1986,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,,,,,1986,1986,2,,38000,,38000,,,Indonesia,West Java
1986,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,,10,,,1986,1986,77,,19000,,19000,,,Indonesia,Timor province (Java)
1986,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,,,,,1986,1986,,,,50000,50000,,,Indonesia,Java
